,value.Total.Energy.Emissions..CO2...Energy.,VALUE,
value.Swine..breeding.Manure..N.content...Manure.management.,0.578107618,TRUE,TRUE
value.Swine..breeding.Indirect.emissions..N2O...Manure.applied.,0.581507397,TRUE,TRUE
value.Swine..breeding.Manure..N.content...Manure.applied.,0.582393852,TRUE,TRUE
value.Swine..breeding.Indirect.emissions..CO2eq...Manure.applied.,0.582406947,TRUE,TRUE
value.Swine..breeding.Direct.emissions..CO2eq...Manure.applied.,0.582413695,TRUE,TRUE
value.Swine..breeding.Emissions..CO2eq...Manure.applied.,0.582432415,TRUE,TRUE
value.Ducks.Emissions..CO2eq...Manure.management.,0.582543777,TRUE,TRUE
value.Swine..breeding.Emissions..CO2eq..from.N2O..Manure.management.,0.583186314,TRUE,TRUE
value.Swine..breeding.Emissions..N2O...Manure.management.,0.583546356,TRUE,TRUE
value.Swine..breeding.Emissions..N2O...Manure.applied.,0.583710316,TRUE,TRUE
value.Swine..breeding.Direct.emissions..N2O...Manure.applied.,0.583943734,TRUE,TRUE
value.Swine..breeding.Stocks,0.584003842,TRUE,TRUE
value.Swine..market.Stocks,0.584003842,TRUE,TRUE
value.Swine.Stocks,0.584003842,TRUE,TRUE
value.Turkeys.Emissions..CO2eq...Manure.management.,0.585831893,TRUE,TRUE
value.Turkeys.Direct.emissions..N2O...Manure.applied.,0.589296067,TRUE,TRUE
value.Turkeys.Indirect.emissions..N2O...Manure.applied.,0.590465893,TRUE,TRUE
value.Turkeys.Direct.emissions..CO2eq...Manure.management.,0.590540875,TRUE,TRUE
value.Turkeys.Manure..N.content...Manure.applied.,0.591018359,TRUE,TRUE
value.Turkeys.Direct.emissions..CO2eq...Manure.applied.,0.591018359,TRUE,TRUE
value.Turkeys.Indirect.emissions..CO2eq...Manure.applied.,0.591018359,TRUE,TRUE
value.Turkeys.Emissions..CO2eq...Manure.applied.,0.591018359,TRUE,TRUE
value.Turkeys.Emissions..N2O...Manure.applied.,0.591403709,TRUE,TRUE
value.Ducks.Direct.emissions..CO2eq...Manure.management.,0.591585086,TRUE,TRUE
value.Turkeys.Emissions..CO2eq..from.N2O..Manure.management.,0.591660493,TRUE,TRUE
value.Oats.Residues..Crop.residues.,0.59166621,TRUE,TRUE
value.Oats.Direct.emissions..CO2eq...Crop.residues.,0.59166621,TRUE,TRUE
value.Oats.Indirect.emissions..CO2eq...Crop.residues.,0.59166621,TRUE,TRUE
value.Oats.Emissions..CO2eq...Crop.residues.,0.59166621,TRUE,TRUE
value.Ducks.Indirect.emissions..N2O...Manure.applied.,0.591754143,TRUE,TRUE
value.Turkeys.Manure..N.content...Manure.management.,0.592039187,TRUE,TRUE
value.Ducks.Indirect.emissions..CO2eq...Manure.applied.,0.592046514,TRUE,TRUE
value.Ducks.Emissions..CO2eq...Manure.applied.,0.592046514,TRUE,TRUE
value.Oats.Emissions..N2O...Crop.residues.,0.592075476,TRUE,TRUE
value.Ducks.Manure..N.content...Manure.applied.,0.592357231,TRUE,TRUE
value.Ducks.Manure..N.content...Manure.management.,0.592357231,TRUE,TRUE
value.Ducks.Direct.emissions..CO2eq...Manure.applied.,0.592412564,TRUE,TRUE
value.Ducks.Emissions..CO2eq..from.N2O..Manure.management.,0.592453393,TRUE,TRUE
value.Ducks.Direct.emissions..N2O...Manure.applied.,0.59294606,TRUE,TRUE
value.Turkeys.Direct.emissions..N2O...Manure.management.,0.593017981,TRUE,TRUE
value.Oats.Indirect.emissions..N2O...Crop.residues.,0.593323365,TRUE,TRUE
value.Ducks.Emissions..N2O...Manure.applied.,0.593529018,TRUE,TRUE
value.Oats.Direct.emissions..N2O...Crop.residues.,0.594093793,TRUE,TRUE
value.Turkeys.Emissions..N2O...Manure.management.,0.59429919,TRUE,TRUE
value.Swine..breeding.Emissions..CH4...Enteric.,0.595387827,TRUE,TRUE
value.Swine..market.Emissions..CH4...Enteric.,0.595784211,TRUE,TRUE
value.Swine.Emissions..CH4...Enteric.,0.595784211,TRUE,TRUE
value.Swine..breeding.Emissions..CO2eq...Enteric.,0.595889817,TRUE,TRUE
value.Swine..market.Emissions..CO2eq...Enteric.,0.595889817,TRUE,TRUE
value.Swine.Emissions..CO2eq...Enteric.,0.595889817,TRUE,TRUE
value.Cattle.Emissions..CH4...Enteric.,0.596903194,TRUE,TRUE
value.Cattle.Emissions..CO2eq...Enteric.,0.596903194,TRUE,TRUE
value.Ducks.Emissions..N2O...Manure.management.,0.597435991,TRUE,TRUE
value.Ducks.Direct.emissions..N2O...Manure.management.,0.597655125,TRUE,TRUE
value.Swine.Indirect.emissions..N2O...Manure.management.,0.600520664,TRUE,TRUE
value.Swine..market.Indirect.emissions..N2O...Manure.management.,0.600572755,TRUE,TRUE
value.Swine..market.Indirect.emissions..CO2eq...Manure.management.,0.601050447,TRUE,TRUE
value.Swine.Indirect.emissions..CO2eq...Manure.management.,0.601141069,TRUE,TRUE
value.Cattle..dairy.Stocks,0.608536568,TRUE,TRUE
value.Barley.Residues..Crop.residues.,0.610839646,TRUE,TRUE
value.Barley.Direct.emissions..CO2eq...Crop.residues.,0.610839646,TRUE,TRUE
value.Barley.Emissions..CO2eq...Crop.residues.,0.610839646,TRUE,TRUE
value.Barley.Indirect.emissions..CO2eq...Crop.residues.,0.610921292,TRUE,TRUE
value.Barley.Emissions..N2O...Crop.residues.,0.61093685,TRUE,TRUE
value.Barley.Direct.emissions..N2O...Crop.residues.,0.611394735,TRUE,TRUE
value.Cattle..non.dairy.Emissions..CH4...Manure.management.,0.611456932,TRUE,TRUE
value.Cattle..non.dairy.Emissions..CO2eq..from.CH4..Manure.management.,0.611456932,TRUE,TRUE
value.Barley.Indirect.emissions..N2O...Crop.residues.,0.613401068,TRUE,TRUE
value.Chickens..broilers.Emissions..CO2eq..from.CH4..Manure.management.,0.61788058,TRUE,TRUE
value.Chickens..broilers.Emissions..CH4...Manure.management.,0.617959111,TRUE,TRUE
value.All.Animals.Emissions..CH4...Enteric.,0.629752062,TRUE,TRUE
value.All.Animals.Emissions..CO2eq...Enteric.,0.629752062,TRUE,TRUE
value.Transport.fuel.used.in.agriculture..excl..fishery..Emissions..CO2eq..from.N2O..Energy.,0.639979889,TRUE,TRUE
value.Transport.fuel.used.in.agriculture..excl..fishery..Emissions..N2O...Energy.,0.640111026,TRUE,TRUE
value.Chickens..broilers.Stocks,0.643032559,TRUE,TRUE
value.Cattle..non.dairy.Direct.emissions..CO2eq...Manure.management.,0.647620002,TRUE,TRUE
value.Cattle..non.dairy.Direct.emissions..N2O...Manure.management.,0.648126062,TRUE,TRUE
value.Cattle..non.dairy.Emissions..CO2eq..from.N2O..Manure.management.,0.652191371,TRUE,TRUE
value.Cattle..non.dairy.Emissions..N2O...Manure.management.,0.652472305,TRUE,TRUE
value.Cattle..dairy.Emissions..CH4...Enteric.,0.652576712,TRUE,TRUE
value.Cattle..dairy.Emissions..CO2eq...Enteric.,0.652576712,TRUE,TRUE
value.Cattle..dairy.Direct.emissions..CO2eq...Manure.management.,0.658899527,TRUE,TRUE
value.Cattle..dairy.Emissions..N2O...Manure.applied.,0.659985491,TRUE,TRUE
value.Cattle..dairy.Direct.emissions..N2O...Manure.applied.,0.660111232,TRUE,TRUE
value.Cattle..dairy.Manure..N.content...Manure.applied.,0.660196559,TRUE,TRUE
value.Cattle..dairy.Direct.emissions..CO2eq...Manure.applied.,0.660196559,TRUE,TRUE
value.Cattle..dairy.Indirect.emissions..CO2eq...Manure.applied.,0.660196559,TRUE,TRUE
value.Cattle..dairy.Emissions..CO2eq...Manure.applied.,0.660196559,TRUE,TRUE
value.Cattle..dairy.Indirect.emissions..N2O...Manure.applied.,0.660858864,TRUE,TRUE
value.Cattle..dairy.Direct.emissions..N2O...Manure.management.,0.660965334,TRUE,TRUE
value.Wheat.Emissions..N2O...Burning.crop.residues.,0.661013072,TRUE,TRUE
value.Cattle..non.dairy.Emissions..CO2eq...Manure.management.,0.661025023,TRUE,TRUE
value.All.Animals.Direct.emissions..N2O...Manure.management.,0.661670377,TRUE,TRUE
value.All.Animals.Direct.emissions..CO2eq...Manure.management.,0.661676846,TRUE,TRUE
value.Cattle.Direct.emissions..CO2eq...Manure.management.,0.663389037,TRUE,TRUE
value.Wheat.Emissions..CO2eq..from.N2O..Burning.crop.residues.,0.663425195,TRUE,TRUE
value.Wheat.Emissions..CO2eq..from.CH4..Burning.crop.residues.,0.663425195,TRUE,TRUE
value.Wheat.Biomass.burned..dry.matter.,0.663459621,TRUE,TRUE
value.Wheat.Emissions..CO2eq...Burning.crop.residues.,0.663459621,TRUE,TRUE
value.Wheat.Emissions..CH4...Burning.crop.residues.,0.663553349,TRUE,TRUE
value.Transport.fuel.used.in.agriculture..excl..fishery..Emissions..CO2eq...Energy.,0.66382824,TRUE,TRUE
value.Cattle.Direct.emissions..N2O...Manure.management.,0.663869045,TRUE,TRUE
value.Transport.fuel.used.in.agriculture..excl..fishery..Emissions..CO2...Energy.,0.66395187,TRUE,TRUE
value.Transport.fuel.used.in.agriculture..excl..fishery..Consumption.in.Agriculture,0.664726422,TRUE,TRUE
value.All.Crops.Residues..Crop.residues.,0.665098233,TRUE,TRUE
value.All.Crops.Direct.emissions..CO2eq...Crop.residues.,0.665098233,TRUE,TRUE
value.All.Crops.Indirect.emissions..CO2eq...Crop.residues.,0.665098233,TRUE,TRUE
value.All.Crops.Emissions..CO2eq...Crop.residues.,0.665098233,TRUE,TRUE
value.All.Crops.Emissions..N2O...Crop.residues.,0.665201167,TRUE,TRUE
value.All.Crops.Direct.emissions..N2O...Crop.residues.,0.665370274,TRUE,TRUE
value.All.Crops.Indirect.emissions..N2O...Crop.residues.,0.665571032,TRUE,TRUE
value.Cattle..dairy.Manure..N.content...Manure.management.,0.667213801,TRUE,TRUE
value.Cattle.Emissions..CH4...Manure.management.,0.669306836,TRUE,TRUE
value.Cattle.Emissions..CO2eq..from.CH4..Manure.management.,0.669306836,TRUE,TRUE
value.Transport.fuel.used.in.agriculture..excl..fishery..Emissions..CH4...Energy.,0.66995726,TRUE,TRUE
value.Transport.fuel.used.in.agriculture..excl..fishery..Emissions..CO2eq..from.CH4..Energy.,0.669978393,TRUE,TRUE
value.All.Animals.Emissions..CO2eq..from.N2O..Manure.management.,0.671144297,TRUE,TRUE
value.All.Animals.Emissions..N2O...Manure.management.,0.671223738,TRUE,TRUE
value.All.Animals.Indirect.emissions..CO2eq...Manure.management.,0.676825045,TRUE,TRUE
value.All.Animals.Indirect.emissions..N2O...Manure.management.,0.676999614,TRUE,TRUE
value.Cattle.Emissions..CO2eq..from.N2O..Manure.management.,0.678366304,TRUE,TRUE
value.Cattle.Emissions..N2O...Manure.management.,0.678896195,TRUE,TRUE
value.Chickens..broilers.Emissions..CO2eq...Manure.management.,0.68008259,TRUE,TRUE
value.Cattle..dairy.Emissions..CO2eq..from.N2O..Manure.management.,0.683970782,TRUE,TRUE
value.Cattle..dairy.Emissions..N2O...Manure.management.,0.684584708,TRUE,TRUE
value.Cattle..dairy.Emissions..CO2eq..from.CH4..Manure.management.,0.684930502,TRUE,TRUE
value.Cattle..dairy.Emissions..CH4...Manure.management.,0.68495145,TRUE,TRUE
value.Cattle..dairy.Indirect.emissions..CO2eq...Manure.management.,0.686145676,TRUE,TRUE
value.Cattle..non.dairy.Manure..N.content...Manure.management.,0.686236002,TRUE,TRUE
value.Cattle..dairy.Indirect.emissions..N2O...Manure.management.,0.68788879,TRUE,TRUE
value.Cattle..dairy.Emissions..CO2eq...Manure.management.,0.68927182,TRUE,TRUE
value.Cattle.Indirect.emissions..N2O...Manure.management.,0.692548995,TRUE,TRUE
value.Cattle.Emissions..CO2eq...Manure.management.,0.692564504,TRUE,TRUE
value.Chickens.Stocks,0.693130906,TRUE,TRUE
value.Cattle.Indirect.emissions..CO2eq...Manure.management.,0.693164329,TRUE,TRUE
value.Poultry.Birds.Stocks,0.693258873,TRUE,TRUE
value.Cattle..non.dairy.Manure..N.content...Manure.applied.,0.694022431,TRUE,TRUE
value.Cattle..non.dairy.Direct.emissions..CO2eq...Manure.applied.,0.694022431,TRUE,TRUE
value.Cattle..non.dairy.Emissions..CO2eq...Manure.applied.,0.694022431,TRUE,TRUE
value.Cattle..non.dairy.Indirect.emissions..CO2eq...Manure.applied.,0.694029977,TRUE,TRUE
value.Cattle..non.dairy.Indirect.emissions..N2O...Manure.applied.,0.694286609,TRUE,TRUE
value.Cattle..non.dairy.Emissions..N2O...Manure.applied.,0.694458264,TRUE,TRUE
value.Cattle..non.dairy.Direct.emissions..N2O...Manure.applied.,0.694846442,TRUE,TRUE
value.All.Animals.Emissions..CO2eq...Manure.management.,0.696199165,TRUE,TRUE
value.Potatoes.Indirect.emissions..N2O...Crop.residues.,0.699506194,TRUE,TRUE
value.Potatoes.Residues..Crop.residues.,0.700384117,TRUE,TRUE
value.Potatoes.Direct.emissions..CO2eq...Crop.residues.,0.700384117,TRUE,TRUE
value.Potatoes.Emissions..CO2eq...Crop.residues.,0.700384117,TRUE,TRUE
value.Potatoes.Indirect.emissions..CO2eq...Crop.residues.,0.700394868,TRUE,TRUE
value.Potatoes.Emissions..N2O...Crop.residues.,0.700485734,TRUE,TRUE
value.Potatoes.Direct.emissions..N2O...Crop.residues.,0.700959534,TRUE,TRUE
value.All.Animals.Emissions..CH4...Manure.management.,0.701347862,TRUE,TRUE
value.All.Animals.Emissions..CO2eq..from.CH4..Manure.management.,0.701347862,TRUE,TRUE
value.All.Animals.Direct.emissions..N2O...Manure.applied.,0.70582575,TRUE,TRUE
value.All.Animals.Indirect.emissions..N2O...Manure.applied.,0.70582575,TRUE,TRUE
value.All.Animals.Manure..N.content...Manure.applied.,0.705881375,TRUE,TRUE
value.All.Animals.Direct.emissions..CO2eq...Manure.applied.,0.705881375,TRUE,TRUE
value.All.Animals.Indirect.emissions..CO2eq...Manure.applied.,0.705881375,TRUE,TRUE
value.All.Animals.Emissions..N2O...Manure.applied.,0.705881375,TRUE,TRUE
value.All.Animals.Emissions..CO2eq...Manure.applied.,0.705881375,TRUE,TRUE
value.Wheat.Residues..Crop.residues.,0.706117362,TRUE,TRUE
value.Wheat.Direct.emissions..CO2eq...Crop.residues.,0.706117362,TRUE,TRUE
value.Wheat.Indirect.emissions..CO2eq...Crop.residues.,0.706117362,TRUE,TRUE
value.Wheat.Emissions..CO2eq...Crop.residues.,0.706117362,TRUE,TRUE
value.Wheat.Direct.emissions..N2O...Crop.residues.,0.706211843,TRUE,TRUE
value.Cattle.Manure..N.content...Manure.management.,0.706275788,TRUE,TRUE
value.Cattle.Direct.emissions..N2O...Manure.applied.,0.706281103,TRUE,TRUE
value.Cattle.Indirect.emissions..N2O...Manure.applied.,0.706574175,TRUE,TRUE
value.Cattle.Manure..N.content...Manure.applied.,0.706713307,TRUE,TRUE
value.Cattle.Direct.emissions..CO2eq...Manure.applied.,0.706713307,TRUE,TRUE
value.Cattle.Indirect.emissions..CO2eq...Manure.applied.,0.706713307,TRUE,TRUE
value.Cattle.Emissions..CO2eq...Manure.applied.,0.706713307,TRUE,TRUE
value.Cattle.Emissions..N2O...Manure.applied.,0.706778606,TRUE,TRUE
value.Wheat.Emissions..N2O...Crop.residues.,0.706900574,TRUE,TRUE
value.Wheat.Indirect.emissions..N2O...Crop.residues.,0.708324811,TRUE,TRUE
value.All.Animals.Manure..N.content...Manure.management.,0.708626146,TRUE,TRUE
value.Chickens..broilers.Direct.emissions..N2O...Manure.applied.,0.711665947,TRUE,TRUE
value.Chickens..broilers.Manure..N.content...Manure.applied.,0.71178964,TRUE,TRUE
value.Chickens..broilers.Direct.emissions..CO2eq...Manure.applied.,0.71178964,TRUE,TRUE
value.Chickens..broilers.Indirect.emissions..CO2eq...Manure.applied.,0.71178964,TRUE,TRUE
value.Chickens..broilers.Emissions..CO2eq...Manure.applied.,0.71178964,TRUE,TRUE
value.Chickens..broilers.Emissions..N2O...Manure.applied.,0.711837161,TRUE,TRUE
value.Chickens..broilers.Indirect.emissions..N2O...Manure.applied.,0.71197838,TRUE,TRUE
value.Chickens..broilers.Manure..N.content...Manure.management.,0.712123217,TRUE,TRUE
value.Chickens..broilers.Direct.emissions..N2O...Manure.management.,0.712451175,TRUE,TRUE
value.Chickens..broilers.Emissions..N2O...Manure.management.,0.712856047,TRUE,TRUE
